DATE,CLOSE,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
42677,4679.103,4792.268,4764.474,4702.045,4751.951,4747.028,4825.184,4804.92,4773.729,4660.457,4679.103
42676,4726.907,4764.474,4702.045,4751.951,4747.028,4825.184,4804.92,4773.729,4660.457,4679.103,4726.907
42675,4766.937,4702.045,4751.951,4747.028,4825.184,4804.92,4773.729,4660.457,4679.103,4726.907,4766.937
42674,4801.271,4751.951,4747.028,4825.184,4804.92,4773.729,4660.457,4679.103,4726.907,4766.937,4801.271
42671,4805.593,4747.028,4825.184,4804.92,4773.729,4660.457,4679.103,4726.907,4766.937,4801.271,4805.593
42670,4836.447,4825.184,4804.92,4773.729,4660.457,4679.103,4726.907,4766.937,4801.271,4805.593,4836.447
42669,4860.593,4804.92,4773.729,4660.457,4679.103,4726.907,4766.937,4801.271,4805.593,4836.447,4860.593
42668,4891.455,4773.729,4660.457,4679.103,4726.907,4766.937,4801.271,4805.593,4836.447,4860.593,4891.455
42667,4909.969,4660.457,4679.103,4726.907,4766.937,4801.271,4805.593,4836.447,4860.593,4891.455,4909.969
42664,4851.861,4679.103,4726.907,4766.937,4801.271,4805.593,4836.447,4860.593,4891.455,4909.969,4851.861
42663,4832.71,4726.907,4766.937,4801.271,4805.593,4836.447,4860.593,4891.455,4909.969,4851.861,4832.71
42662,4836.61,4766.937,4801.271,4805.593,4836.447,4860.593,4891.455,4909.969,4851.861,4832.71,4836.61
42661,4839.721,4801.271,4805.593,4836.447,4860.593,4891.455,4909.969,4851.861,4832.71,4836.61,4839.721
42660,4796.169,4805.593,4836.447,4860.593,4891.455,4909.969,4851.861,4832.71,4836.61,4839.721,4796.169
42657,4808.485,4836.447,4860.593,4891.455,4909.969,4851.861,4832.71,4836.61,4839.721,4796.169,4808.485
42656,4803.102,4860.593,4891.455,4909.969,4851.861,4832.71,4836.61,4839.721,4796.169,4808.485,4803.102
42655,4819.635,4891.455,4909.969,4851.861,4832.71,4836.61,4839.721,4796.169,4808.485,4803.102,4819.635
42654,4821.914,4909.969,4851.861,4832.71,4836.61,4839.721,4796.169,4808.485,4803.102,4819.635,4821.914
42653,4893.768,4851.861,4832.71,4836.61,4839.721,4796.169,4808.485,4803.102,4819.635,4821.914,4893.768
42650,4864.522,4832.71,4836.61,4839.721,4796.169,4808.485,4803.102,4819.635,4821.914,4893.768,4864.522
42649,4873.924,4836.61,4839.721,4796.169,4808.485,4803.102,4819.635,4821.914,4893.768,4864.522,4873.924
42648,4877.749,4839.721,4796.169,4808.485,4803.102,4819.635,4821.914,4893.768,4864.522,4873.924,4877.749
42647,4859.467,4796.169,4808.485,4803.102,4819.635,4821.914,4893.768,4864.522,4873.924,4877.749,4859.467
42646,4866.625,4808.485,4803.102,4819.635,4821.914,4893.768,4864.522,4873.924,4877.749,4859.467,4866.625
42643,4875.697,4803.102,4819.635,4821.914,4893.768,4864.522,4873.924,4877.749,4859.467,4866.625,4875.697
42642,4838.3,4819.635,4821.914,4893.768,4864.522,4873.924,4877.749,4859.467,4866.625,4875.697,4838.3
42641,4875.269,4821.914,4893.768,4864.522,4873.924,4877.749,4859.467,4866.625,4875.697,4838.3,4875.269
42640,4866.706,4893.768,4864.522,4873.924,4877.749,4859.467,4866.625,4875.697,4838.3,4875.269,4866.706
42639,4817.167,4864.522,4873.924,4877.749,4859.467,4866.625,4875.697,4838.3,4875.269,4866.706,4817.167
42636,4858.909,4873.924,4877.749,4859.467,4866.625,4875.697,4838.3,4875.269,4866.706,4817.167,4858.909
42635,4891.363,4877.749,4859.467,4866.625,4875.697,4838.3,4875.269,4866.706,4817.167,4858.909,4891.363
42634,4853.748,4859.467,4866.625,4875.697,4838.3,4875.269,4866.706,4817.167,4858.909,4891.363,4853.748
42633,4805.22,4866.625,4875.697,4838.3,4875.269,4866.706,4817.167,4858.909,4891.363,4853.748,4805.22
42632,4796.071,4875.697,4838.3,4875.269,4866.706,4817.167,4858.909,4891.363,4853.748,4805.22,4796.071
42629,4818.054,4838.3,4875.269,4866.706,4817.167,4858.909,4891.363,4853.748,4805.22,4796.071,4818.054
42628,4819.896,4875.269,4866.706,4817.167,4858.909,4891.363,4853.748,4805.22,4796.071,4818.054,4819.896
42627,4746.063,4866.706,4817.167,4858.909,4891.363,4853.748,4805.22,4796.071,4818.054,4819.896,4746.063
42626,4722.845,4817.167,4858.909,4891.363,4853.748,4805.22,4796.071,4818.054,4819.896,4746.063,4722.845
42625,4764.652,4858.909,4891.363,4853.748,4805.22,4796.071,4818.054,4819.896,4746.063,4722.845,4764.652
42622,4681.535,4891.363,4853.748,4805.22,4796.071,4818.054,4819.896,4746.063,4722.845,4764.652,4681.535
42621,4803.998,4853.748,4805.22,4796.071,4818.054,4819.896,4746.063,4722.845,4764.652,4681.535,4803.998
42620,4831.861,4805.22,4796.071,4818.054,4819.896,4746.063,4722.845,4764.652,4681.535,4803.998,4831.861
42619,4829.512,4796.071,4818.054,4819.896,4746.063,4722.845,4764.652,4681.535,4803.998,4831.861,4829.512
42615,4798.741,4818.054,4819.896,4746.063,4722.845,4764.652,4681.535,4803.998,4831.861,4829.512,4798.741
42614,4783.938,4819.896,4746.063,4722.845,4764.652,4681.535,4803.998,4831.861,4829.512,4798.741,4783.938
42613,4771.055,4746.063,4722.845,4764.652,4681.535,4803.998,4831.861,4829.512,4798.741,4783.938,4771.055
42612,4775.995,4722.845,4764.652,4681.535,4803.998,4831.861,4829.512,4798.741,4783.938,4771.055,4775.995
42611,4791.086,4764.652,4681.535,4803.998,4831.861,4829.512,4798.741,4783.938,4771.055,4775.995,4791.086
42608,4783.694,4681.535,4803.998,4831.861,4829.512,4798.741,4783.938,4771.055,4775.995,4791.086,4783.694
42607,4775.425,4803.998,4831.861,4829.512,4798.741,4783.938,4771.055,4775.995,4791.086,4783.694,4775.425
42606,4783.485,4831.861,4829.512,4798.741,4783.938,4771.055,4775.995,4791.086,4783.694,4775.425,4783.485
42605,4818.479,4829.512,4798.741,4783.938,4771.055,4775.995,4791.086,4783.694,4775.425,4783.485,4818.479
42604,4808.558,4798.741,4783.938,4771.055,4775.995,4791.086,4783.694,4775.425,4783.485,4818.479,4808.558
